Target,#Threads,#ThreadBlks,ExecTime
host,1,1,808.799
device,32,1,1519.86
device,32,2,755.271
device,32,4,378.491
device,32,8,189.734
device,32,16,97.7746
device,32,32,53.3896
device,32,64,53.7649
device,32,128,55.1964
device,32,256,60.505
device,32,512,63.7625
device,64,1,755.452
device,64,2,378.536
device,64,4,189.524
device,64,8,97.1404
device,64,16,52.9908
device,64,32,32.4449
device,64,64,33.084
device,64,128,34.7697
device,64,256,35.4497
device,64,512,35.7036
device,128,1,378.457
device,128,2,189.667
device,128,4,97.4618
device,128,8,53.0529
device,128,16,32.451
device,128,32,33.771
device,128,64,35.094
device,128,128,35.5905
device,128,256,35.7408
device,128,512,35.2509
device,256,1,189.474
device,256,2,97.5389
device,256,4,53.2503
device,256,8,32.4596
device,256,16,33.9998
device,256,32,34.4288
device,256,64,35.767
device,256,128,35.6228
device,256,256,35.1579
device,256,512,34.9163
device,512,1,97.494
device,512,2,53.3517
device,512,4,32.8345
device,512,8,34.7188
device,512,16,34.886
device,512,32,36.0372
device,512,64,35.7201
device,512,128,35.9742
device,512,256,36.097
device,512,512,36.1759
device,1024,1,53.624
device,1024,2,33.8946
device,1024,4,35.0391
device,1024,8,35.7545
device,1024,16,36.8889
device,1024,32,36.4403
device,1024,64,36.7706
device,1024,128,37.3691
device,1024,256,39.3375
device,1024,512,41.803
