Target,#Threads,#ThreadBlks,ExecTime
host,1,1,693.232
device,32,1,372.807
device,32,2,188.491
device,32,4,94.5666
device,32,8,48.9712
device,32,16,29.4713
device,32,32,21.4632
device,32,64,21.2528
device,32,128,23.5099
device,32,256,25.0754
device,32,512,26.9255
device,64,1,188.5
device,64,2,94.5744
device,64,4,49.064
device,64,8,29.4126
device,64,16,21.407
device,64,32,19.2886
device,64,64,20.5729
device,64,128,22.1603
device,64,256,26.8341
device,64,512,28.3726
device,128,1,94.5718
device,128,2,48.9241
device,128,4,29.1808
device,128,8,21.3921
device,128,16,19.2569
device,128,32,20.6101
device,128,64,22.1895
device,128,128,26.6912
device,128,256,31.204
device,128,512,35.3506
device,256,1,48.9658
device,256,2,28.4805
device,256,4,21.441
device,256,8,20.3014
device,256,16,20.6535
device,256,32,21.5524
device,256,64,25.0152
device,256,128,27.9124
device,256,256,29.5742
device,256,512,28.554
device,512,1,28.5072
device,512,2,20.7655
device,512,4,19.2992
device,512,8,20.6237
device,512,16,21.3593
device,512,32,23.5575
device,512,64,22.7533
device,512,128,22.5658
device,512,256,22.2522
device,512,512,22.5946
device,1024,1,20.1899
device,1024,2,19.4051
device,1024,4,20.6462
device,1024,8,21.5533
device,1024,16,23.6486
device,1024,32,22.78
device,1024,64,22.2047
device,1024,128,22.9189
device,1024,256,24.5812
device,1024,512,29.0559
