Target,#Threads,#ThreadBlks,ExecTime
host,1,1,12.322
device,32,1,17.7491
device,32,2,8.06491
device,32,4,4.05673
device,32,8,2.13904
device,32,16,1.16369
device,32,32,0.714733
device,32,64,0.76615
device,32,128,0.751049
device,32,256,0.753809
device,32,512,0.747239
device,64,1,8.10685
device,64,2,4.04639
device,64,4,2.11424
device,64,8,1.17175
device,64,16,0.697441
device,64,32,0.534853
device,64,64,0.552907
device,64,128,0.546455
device,64,256,0.536567
device,64,512,0.527697
device,128,1,4.06709
device,128,2,2.11514
device,128,4,1.17227
device,128,8,0.660107
device,128,16,0.499861
device,128,32,0.521472
device,128,64,0.529717
device,128,128,0.503012
device,128,256,0.490646
device,128,512,0.48926
device,256,1,2.0746
device,256,2,1.17107
device,256,4,0.69368
device,256,8,0.514828
device,256,16,0.540233
device,256,32,0.541901
device,256,64,0.532685
device,256,128,0.52557
device,256,256,0.526167
device,256,512,0.543489
device,512,1,1.17795
device,512,2,0.696751
device,512,4,0.514875
device,512,8,0.519652
device,512,16,0.534615
device,512,32,0.530682
device,512,64,0.526876
device,512,128,0.531145
device,512,256,0.552847
device,512,512,0.606652
device,1024,1,0.702893
device,1024,2,0.536971
device,1024,4,0.531569
device,1024,8,0.53212
device,1024,16,0.541183
device,1024,32,0.543513
device,1024,64,0.55502
device,1024,128,0.59152
device,1024,256,0.675354
device,1024,512,0.859722
