Target,#Threads,#ThreadBlks,ExecTime
host,1,1,12.559
device,32,1,17.4876
device,32,2,8.05768
device,32,4,4.05431
device,32,8,2.14854
device,32,16,1.20834
device,32,32,0.722113
device,32,64,0.74779
device,32,128,0.746346
device,32,256,0.759281
device,32,512,0.717408
device,64,1,8.08716
device,64,2,4.08345
device,64,4,2.09471
device,64,8,1.15223
device,64,16,0.670737
device,64,32,0.508852
device,64,64,0.52873
device,64,128,0.528834
device,64,256,0.512506
device,64,512,0.505616
device,128,1,4.08846
device,128,2,2.11714
device,128,4,1.14843
device,128,8,0.65779
device,128,16,0.500204
device,128,32,0.510353
device,128,64,0.508051
device,128,128,0.497377
device,128,256,0.491044
device,128,512,0.485899
device,256,1,2.07326
device,256,2,1.16242
device,256,4,0.657493
device,256,8,0.478833
device,256,16,0.498924
device,256,32,0.504463
device,256,64,0.492654
device,256,128,0.48615
device,256,256,0.486773
device,256,512,0.505924
device,512,1,1.13893
device,512,2,0.658805
device,512,4,0.479553
device,512,8,0.512742
device,512,16,0.534291
device,512,32,0.529931
device,512,64,0.525332
device,512,128,0.54184
device,512,256,0.561828
device,512,512,0.608051
device,1024,1,0.702039
device,1024,2,0.524136
device,1024,4,0.529894
device,1024,8,0.530874
device,1024,16,0.539043
device,1024,32,0.504424
device,1024,64,0.515962
device,1024,128,0.560482
device,1024,256,0.63932
device,1024,512,0.823058
