Target,#Threads,#ThreadBlks,ExecTime
host,1,1,15.366
device,32,1,16.7298
device,32,2,7.90491
device,32,4,3.9614
device,32,8,2.00623
device,32,16,1.08999
device,32,32,0.695148
device,32,64,0.719941
device,32,128,0.731379
device,32,256,0.727038
device,32,512,0.680991
device,64,1,7.88829
device,64,2,3.99573
device,64,4,2.02045
device,64,8,1.08805
device,64,16,0.671702
device,64,32,0.551267
device,64,64,0.564841
device,64,128,0.558542
device,64,256,0.501809
device,64,512,0.489436
device,128,1,3.97377
device,128,2,2.02656
device,128,4,1.08766
device,128,8,0.670806
device,128,16,0.525934
device,128,32,0.53634
device,128,64,0.532345
device,128,128,0.52196
device,128,256,0.505942
device,128,512,0.500107
device,256,1,2.0061
device,256,2,1.09435
device,256,4,0.670696
device,256,8,0.520524
device,256,16,0.551315
device,256,32,0.547083
device,256,64,0.535406
device,256,128,0.526992
device,256,256,0.526553
device,256,512,0.565271
device,512,1,1.10678
device,512,2,0.677219
device,512,4,0.51921
device,512,8,0.520911
device,512,16,0.53953
device,512,32,0.534505
device,512,64,0.528493
device,512,128,0.53306
device,512,256,0.574719
device,512,512,0.687226
device,1024,1,0.687594
device,1024,2,0.526877
device,1024,4,0.524246
device,1024,8,0.524959
device,1024,16,0.537347
device,1024,32,0.540189
device,1024,64,0.549595
device,1024,128,0.613968
device,1024,256,0.730093
device,1024,512,0.938848
