Target,#Threads,#ThreadBlks,ExecTime
host,1,1,12.698
device,32,1,16.7724
device,32,2,7.92865
device,32,4,3.96997
device,32,8,2.00377
device,32,16,1.09993
device,32,32,1.10913
device,32,64,1.143
device,32,128,1.16068
device,32,256,1.15636
device,32,512,1.16201
device,64,1,7.93368
device,64,2,4.00088
device,64,4,2.00371
device,64,8,1.09342
device,64,16,0.673717
device,64,32,0.69737
device,64,64,0.721834
device,64,128,0.718994
device,64,256,0.709196
device,64,512,0.702546
device,128,1,4.00446
device,128,2,2.0252
device,128,4,1.09572
device,128,8,0.676511
device,128,16,0.527205
device,128,32,0.535006
device,128,64,0.520951
device,128,128,0.521133
device,128,256,0.501045
device,128,512,0.508476
device,256,1,2.02198
device,256,2,1.10018
device,256,4,0.67237
device,256,8,0.528135
device,256,16,0.55466
device,256,32,0.554994
device,256,64,0.502669
device,256,128,0.49675
device,256,256,0.493089
device,256,512,0.542767
device,512,1,1.07764
device,512,2,0.643186
device,512,4,0.491547
device,512,8,0.528022
device,512,16,0.546608
device,512,32,0.538714
device,512,64,0.535307
device,512,128,0.539557
device,512,256,0.583309
device,512,512,0.685744
device,1024,1,0.684771
device,1024,2,0.50783
device,1024,4,0.51795
device,1024,8,0.514578
device,1024,16,0.5203
device,1024,32,0.523857
device,1024,64,0.534303
device,1024,128,0.594709
device,1024,256,0.722899
device,1024,512,0.916341
