Target,#Threads,#ThreadBlks,ExecTime
host,1,1,12.377
device,32,1,17.4442
device,32,2,7.9218
device,32,4,3.96825
device,32,8,1.98611
device,32,16,2.00342
device,32,32,1.53145
device,32,64,1.33812
device,32,128,1.18936
device,32,256,1.20733
device,32,512,1.19535
device,64,1,7.92416
device,64,2,3.97159
device,64,4,1.98206
device,64,8,1.06136
device,64,16,1.09562
device,64,32,0.903286
device,64,64,0.751266
device,64,128,0.71248
device,64,256,0.701292
device,64,512,0.688766
device,128,1,3.97097
device,128,2,1.98303
device,128,4,1.09729
device,128,8,0.63753
device,128,16,0.676457
device,128,32,0.570515
device,128,64,0.530073
device,128,128,0.513837
device,128,256,0.505913
device,128,512,0.500871
device,256,1,1.98981
device,256,2,1.06276
device,256,4,0.676024
device,256,8,0.48982
device,256,16,0.520563
device,256,32,0.514601
device,256,64,0.50094
device,256,128,0.495613
device,256,256,0.492225
device,256,512,0.535712
device,512,1,1.07886
device,512,2,0.642794
device,512,4,0.493763
device,512,8,0.492968
device,512,16,0.509274
device,512,32,0.501034
device,512,64,0.499606
device,512,128,0.501007
device,512,256,0.545154
device,512,512,0.666116
device,1024,1,0.652673
device,1024,2,0.492322
device,1024,4,0.498035
device,1024,8,0.498125
device,1024,16,0.508509
device,1024,32,0.508714
device,1024,64,0.517729
device,1024,128,0.58652
device,1024,256,0.705812
device,1024,512,0.90206
